promotion_id,employee_id,previous_job_level,new_job_level,promotion_date,promotion_reason
1,1001,Mid,Senior,2023-08-30,Outstanding business results two years running
2,1003,Mid,Senior,2023-01-14,Recognized leadership and mentorship
3,1006,Mid,Senior,2018-11-12,Consistent high KPI and technical leadership
4,1007,Junior,Mid,2013-03-06,Promoted to lead expanding team
5,1009,Senior,Manager,2024-09-21,Outstanding business results two years running
6,1010,Mid,Senior,2017-08-27,Outstanding business results two years running
7,1011,Junior,Mid,2022-09-16,Outstanding business results two years running
8,1015,Mid,Senior,2024-08-11,Recognized leadership and mentorship
9,1019,Mid,Senior,2019-09-02,Strong delivery and ownership of strategic projects
10,1021,Senior,Manager,2021-06-19,Demonstrated readiness during stretch assignment
11,1023,Senior,Manager,2022-01-27,Demonstrated readiness during stretch assignment
12,1024,Junior,Mid,2025-04-25,Consistent high KPI and technical leadership
13,1025,Senior,Manager,2019-09-05,Demonstrated readiness during stretch assignment
14,1029,Junior,Mid,2020-11-22,Strong delivery and ownership of strategic projects
15,1033,Senior,Manager,2025-01-09,Demonstrated readiness during stretch assignment
16,1035,Senior,Manager,2021-12-17,Consistent high KPI and technical leadership
17,1036,Senior,Manager,2024-11-21,Promoted to lead expanding team
18,1047,Junior,Mid,2024-03-04,Demonstrated readiness during stretch assignment
19,1051,Senior,Manager,2022-02-11,Consistent high KPI and technical leadership
20,1054,Mid,Senior,2023-06-18,Outstanding business results two years running
21,1055,Mid,Senior,2020-08-12,Outstanding business results two years running
22,1056,Junior,Mid,2021-11-16,Outstanding business results two years running
23,1058,Junior,Mid,2021-02-16,Promoted to lead expanding team
24,1062,Junior,Mid,2024-02-07,Consistent high KPI and technical leadership
25,1064,Junior,Mid,2024-12-24,Consistent high KPI and technical leadership
26,1065,Junior,Mid,2023-10-07,Demonstrated readiness during stretch assignment
27,1068,Senior,Manager,2021-06-08,Strong delivery and ownership of strategic projects
28,1071,Senior,Manager,2020-09-11,Outstanding business results two years running
29,1072,Mid,Senior,2019-02-15,Consistent high KPI and technical leadership
30,1074,Junior,Mid,2024-07-07,Promoted to lead expanding team
31,1075,Senior,Manager,2021-05-07,Promoted to lead expanding team
32,1081,Senior,Manager,2024-10-23,Strong delivery and ownership of strategic projects
33,1088,Junior,Mid,2024-04-30,Strong delivery and ownership of strategic projects
34,1089,Senior,Manager,2025-01-05,Strong delivery and ownership of strategic projects
35,1091,Junior,Mid,2023-02-16,Recognized leadership and mentorship
36,1094,Junior,Mid,2023-09-03,Outstanding business results two years running
37,1099,Mid,Senior,2019-02-01,Consistent high KPI and technical leadership
38,1100,Senior,Manager,2022-07-29,Demonstrated readiness during stretch assignment
39,1103,Mid,Senior,2023-09-26,Promoted to lead expanding team
40,1104,Junior,Mid,2019-05-11,Demonstrated readiness during stretch assignment
41,1106,Junior,Mid,2022-07-29,Outstanding business results two years running
42,1108,Junior,Mid,2023-09-26,Promoted to lead expanding team
43,1112,Junior,Mid,2025-07-18,Promoted to lead expanding team
44,1115,Junior,Mid,2024-02-06,Consistent high KPI and technical leadership
45,1118,Mid,Senior,2019-12-05,Strong delivery and ownership of strategic projects
46,1120,Junior,Mid,2024-07-22,Strong delivery and ownership of strategic projects
47,1125,Junior,Mid,2024-10-28,Strong delivery and ownership of strategic projects
48,1129,Junior,Mid,2025-04-14,Promoted to lead expanding team
49,1130,Senior,Manager,2024-08-24,Promoted to lead expanding team
50,1135,Mid,Senior,2023-03-16,Outstanding business results two years running
51,1137,Mid,Senior,2023-03-27,Consistent high KPI and technical leadership
52,1139,Senior,Manager,2017-06-18,Recognized leadership and mentorship
53,1141,Junior,Mid,2021-05-05,Strong delivery and ownership of strategic projects
54,1142,Senior,Manager,2020-01-05,Consistent high KPI and technical leadership
55,1149,Junior,Mid,2024-12-24,Outstanding business results two years running
56,1157,Senior,Manager,2020-12-24,Outstanding business results two years running
57,1159,Junior,Mid,2024-08-16,Outstanding business results two years running
58,1160,Mid,Senior,2025-02-21,Outstanding business results two years running
59,1161,Junior,Mid,2024-04-09,Recognized leadership and mentorship
60,1170,Mid,Senior,2021-06-27,Promoted to lead expanding team
61,1171,Junior,Mid,2023-02-04,Strong delivery and ownership of strategic projects
62,1173,Junior,Mid,2024-10-26,Outstanding business results two years running
63,1174,Junior,Mid,2024-01-17,Outstanding business results two years running
64,1175,Senior,Manager,2024-04-26,Demonstrated readiness during stretch assignment
65,1176,Junior,Mid,2019-04-22,Demonstrated readiness during stretch assignment
66,1178,Mid,Senior,2021-10-16,Strong delivery and ownership of strategic projects
67,1182,Junior,Mid,2025-08-18,Strong delivery and ownership of strategic projects
