experience_id,employee_id,previous_company,previous_role,years_of_experience,industry_background
1,1001,Karya Inovasi,Backend Developer,11.1,Consulting
2,1002,Citra Digital,Research Assistant,3.9,Media
3,1003,Fokus Sejahtera,Business Analyst,13.7,Media
4,1004,Damai Sentosa,Sales Executive,6.6,Retail
5,1005,Anugerah Konsultindo,Content Specialist,9.2,Education
6,1006,Indo Logistik,Customer Service Officer,16.8,Technology
7,1007,Sinergi Solusi,Treasury Analyst,14.7,Healthcare
8,1008,Jaya Abadi,HR Staff,9.2,Government
9,1009,Anugerah Konsultindo,Logistics Coordinator,12.9,Government
10,1010,Damai Sentosa,Compliance Officer,15.2,Healthcare
11,1011,University (Graduate),Recruiter,7.8,Healthcare
12,1012,Inti Mandiri,Frontend Developer,3.6,Banking
13,1013,Anugerah Konsultindo,Logistics Coordinator,2.4,Media
14,1014,Eka Pratama,Operations Staff,13.9,Retail
15,1015,University (Graduate),Research Assistant,0.0,Media
16,1016,Inti Mandiri,Account Executive,9.7,Government
17,1017,Eka Pratama,Account Executive,1.0,Media
18,1018,University (Graduate),Research Assistant,0.0,Manufacturing
19,1019,Garuda Retail,Associate PM,4.3,Healthcare
20,1020,University (Graduate),Research Assistant,0.0,Logistics
21,1021,Eka Pratama,Logistics Coordinator,21.4,Healthcare
22,1022,Bumi Manufaktur,Account Executive,1.1,Logistics
23,1023,Bumi Manufaktur,Content Specialist,14.5,Logistics
24,1024,Indo Logistik,Software Engineer,3.5,Technology
25,1025,Gemilang Teknologi,Brand Associate,9.1,Media
26,1026,University (Graduate),Research Assistant,0.0,Retail
27,1027,Harapan Bersama,Customer Service Officer,8.4,Consulting
28,1028,Karya Inovasi,BI Developer,1.0,Technology
29,1029,Eka Pratama,HR Assistant,3.1,Manufacturing
30,1030,Berkah Niaga,Marketing Coordinator,13.8,Banking
31,1031,Garuda Retail,Frontend Developer,10.3,Logistics
32,1032,Gemilang Teknologi,CS Specialist,3.9,Government
33,1033,Garuda Retail,Marketing Coordinator,19.0,Retail
34,1034,Garuda Retail,Backend Developer,10.3,Technology
35,1035,Andalan Media,Software Engineer,19.1,Logistics
36,1036,TechMandiri,Software Engineer,21.0,Banking
37,1037,Bank Nusantara,Recruiter,0.7,Consulting
38,1038,Harapan Bersama,Junior Data Scientist,4.3,Technology
39,1039,University (Graduate),Research Assistant,0.0,Manufacturing
40,1040,TechMandiri,CS Specialist,4.4,Retail
41,1041,Inti Mandiri,Sales Executive,4.7,Technology
42,1042,Bank Nusantara,Sales Coordinator,4.9,Healthcare
43,1043,Karya Inovasi,Brand Associate,1.7,Healthcare
44,1044,Damai Sentosa,Business Analyst,2.0,Media
45,1045,Eka Pratama,Marketing Coordinator,2.5,Government
46,1046,Garuda Retail,Sales Coordinator,8.6,Media
47,1047,Damai Sentosa,Junior Accountant,2.4,Banking
48,1048,Damai Sentosa,Junior Data Scientist,10.0,Education
49,1049,Andalan Media,Compliance Officer,14.0,Technology
50,1050,Bank Nusantara,Junior Data Scientist,3.7,Banking
51,1051,Sinergi Solusi,Brand Associate,11.4,Logistics
52,1052,University (Graduate),Research Assistant,0.0,Technology
53,1053,TechMandiri,Sales Coordinator,3.7,Healthcare
54,1054,Citra Digital,Software Engineer,2.6,Media
55,1055,Andalan Media,Frontend Developer,15.0,Logistics
56,1056,Andalan Media,Data Analyst,7.2,Retail
57,1057,Berkah Niaga,Account Executive,7.3,Consulting
58,1058,Andalan Media,Account Executive,3.8,Technology
59,1059,University (Graduate),Software Engineer,3.1,Consulting
60,1060,Eka Pratama,Software Engineer,1.7,Retail
61,1061,Garuda Retail,Sales Coordinator,5.2,Logistics
62,1062,Sinergi Solusi,Account Executive,5.7,Consulting
63,1063,Eka Pratama,Treasury Analyst,2.8,Technology
64,1064,Eka Pratama,UX Researcher,10.1,Logistics
65,1065,Fokus Sejahtera,HR Assistant,3.0,Government
66,1066,University (Graduate),Research Assistant,0.0,Media
67,1067,Berkah Niaga,Account Executive,5.4,Government
68,1068,Bank Nusantara,Brand Associate,9.8,Government
69,1069,Andalan Media,Content Specialist,21.2,Education
70,1070,Kreasi Prima,Software Engineer,2.4,Media
71,1071,Kreasi Prima,Operations Staff,13.1,Retail
72,1072,Fokus Sejahtera,UX Researcher,6.5,Healthcare
73,1073,Eka Pratama,Backend Developer,0.8,Retail
74,1074,Berkah Niaga,Frontend Developer,7.8,Logistics
75,1075,Anugerah Konsultindo,Frontend Developer,17.1,Manufacturing
76,1076,Garuda Retail,Brand Associate,2.7,Government
77,1077,Damai Sentosa,Software Engineer,13.9,Consulting
78,1078,Karya Inovasi,Customer Service Officer,4.4,Government
79,1079,Damai Sentosa,Sales Executive,3.0,Media
80,1080,Anugerah Konsultindo,Sales Executive,2.8,Consulting
81,1081,Andalan Media,Frontend Developer,22.2,Manufacturing
82,1082,Indo Logistik,Treasury Analyst,3.2,Technology
83,1083,Sinergi Solusi,Customer Service Officer,3.4,Retail
84,1084,University (Graduate),Research Assistant,0.0,Education
85,1085,Citra Digital,Operations Staff,4.2,Media
86,1086,Karya Inovasi,CS Specialist,2.2,Banking
87,1087,Indo Logistik,Sales Coordinator,2.7,Healthcare
88,1088,Anugerah Konsultindo,Frontend Developer,2.0,Government
89,1089,Eka Pratama,Content Specialist,9.2,Education
90,1090,TechMandiri,Account Coordinator,7.1,Logistics
91,1091,Jaya Abadi,Frontend Developer,1.9,Government
92,1092,Kreasi Prima,HR Assistant,5.2,Technology
93,1093,Inti Mandiri,Marketing Coordinator,6.4,Retail
94,1094,Garuda Retail,Account Executive,9.2,Technology
95,1095,Kreasi Prima,Treasury Analyst,0.9,Retail
96,1096,Karya Inovasi,Sales Coordinator,2.9,Government
97,1097,Fokus Sejahtera,Paralegal,13.0,Education
98,1098,University (Graduate),Research Assistant,0.0,Logistics
99,1099,Damai Sentosa,Frontend Developer,6.6,Technology
100,1100,TechMandiri,Operations Staff,21.3,Retail
101,1101,Jaya Abadi,Sales Coordinator,5.0,Logistics
102,1102,Eka Pratama,Account Executive,3.1,Logistics
103,1103,Bumi Manufaktur,Account Coordinator,9.3,Healthcare
104,1104,TechMandiri,Data Analyst,2.2,Media
105,1105,Bank Nusantara,Marketing Coordinator,7.3,Education
106,1106,University (Graduate),Frontend Developer,9.9,Media
107,1107,Citra Digital,Customer Service Officer,1.2,Retail
108,1108,Bank Nusantara,DevOps Engineer,5.5,Retail
109,1109,TechMandiri,Sales Executive,6.5,Media
110,1110,Karya Inovasi,Backend Developer,24.2,Retail
111,1111,Bumi Manufaktur,Junior Accountant,10.5,Education
112,1112,Gemilang Teknologi,Frontend Developer,11.9,Banking
113,1113,Harapan Bersama,Sales Executive,2.9,Government
114,1114,University (Graduate),Research Assistant,0.2,Technology
115,1115,Karya Inovasi,Sales Coordinator,8.1,Media
116,1116,Berkah Niaga,Operations Staff,3.4,Technology
117,1117,University (Graduate),Research Assistant,0.0,Logistics
118,1118,University (Graduate),Software Engineer,0.6,Logistics
119,1119,Anugerah Konsultindo,Sales Executive,1.2,Retail
120,1120,Indo Logistik,Data Analyst,4.9,Manufacturing
121,1121,Harapan Bersama,Content Specialist,3.6,Banking
122,1122,University (Graduate),Research Assistant,0.0,Media
123,1123,Indo Logistik,Business Analyst,8.0,Consulting
124,1124,Sinergi Solusi,Logistics Coordinator,10.5,Government
125,1125,TechMandiri,DevOps Engineer,2.2,Healthcare
126,1126,University (Graduate),Research Assistant,0.0,Government
127,1127,University (Graduate),Finance Staff,8.8,Government
128,1128,Inti Mandiri,Account Executive,4.9,Retail
129,1129,Kreasi Prima,HR Staff,4.9,Banking
130,1130,Bumi Manufaktur,Operations Staff,18.2,Consulting
131,1131,Citra Digital,Account Executive,1.9,Logistics
